"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","X1","X2","X3","Y1","ID","Year","NC.full","C.full","NC.alpha","C.alpha","NC.M","C.M"
17.39246,1.961324,0.11806,7556,277817,1724829,37174620,1,1986,"879940",7556,277817,1724829,37174620,1,1986,1,1,1,1,1.00000156564382,1.00000156564382
17.46293,2.109548,0.13171,15840,779352,4387571,95337568,2,1986,"2.49858D+06",15840,779352,4387571,95337568,2,1986,1,1,1,1,1,1
16.30812,2.136357,0.12926,6361,491912,3235404,47160688,3,1986,"1572844",6361,491912,3235404,47160688,3,1986,1,1,1,1,1.00000000035724,1.00000000035724
17.75168,2.112398,0.12718,4080,145496,1022291,17472940,4,1986,"509787.3",4080,145496,1022291,17472940,4,1986,1,0.889507114242447,1.1900877000055,0.941836057489573,1.0107479128843,0.902047926383632
19.55094,2.027529,0.12407,484,31547,77217,881460,5,1986,"83005.42",484,31547,77217,881460,5,1986,1,1,2.0428662082184,2.0428662082184,1.11302574907352,1.11302574907352
15.17351,1.700879,0.13139,7061,410611,2688161,35133480,6,1986,"1.158737D+06",7061,410611,2688161,35133480,6,1986,1,0.744751692306811,1,0.786976663000771,1.00000807277923,0.756274713785422
16.52959,1.649653,0.12464,8366,178207,1396336,17685590,7,1986,"606305.5",8366,178207,1396336,17685590,7,1986,0.971639722345362,0.707128101709344,1,0.769913584906759,0.972962229309587,0.724978757693871
23.57761,1.830557,0.12394,2207,148816,626751,12752280,8,1986,"402131.5",2207,148816,626751,12752280,8,1986,1,0.958141840926389,1.50598243959722,1.11469957030444,1.05595814456707,0.99357836795829
17.37793,2.049692,0.12392,4766,195142,888360,14143210,9,1986,"592889.8",4766,195142,888360,14143210,9,1986,1,0.6767221857512,1.04949457427169,0.756458254314507,1.0044327027608,0.697316566164001
23.37519,1.660899,0.1185,6823,111307,1075732,7864480,10,1986,"471832.9",6823,111307,1075732,7864480,10,1986,0.632520865713747,0.456240398770984,0.768890392774409,0.6017635767558,0.640545482009059,0.500148200388555
14.5475,2.053725,0.1366,29448,984487,5555860,101006552,11,1986,"3209191",29448,984487,5555860,101006552,11,1986,1,1,1,0.999999999999999,1,1
9.944057,1.668708,0.11874,7432,83411,779077,10041080,12,1986,"305600.5",7432,83411,779077,10041080,12,1986,1,0.796914026365963,1.13541379434367,0.987533163538846,1.01031349975998,0.850009208525451
19.13438,1.774471,0.13264,1674,40746,294321,3390380,13,1986,"143372.3",1674,40746,294321,3390380,13,1986,0.837235556864478,0.588746561297152,1.15223580228734,0.94221147035748,0.901038461438997,0.680633987362125
16.48439,1.836658,0.11085,3448,162191,877548,12120450,14,1986,"452003.8",3448,162191,877548,12120450,14,1986,0.872247444014458,0.640140597294073,0.917535498270558,0.726243540951998,0.878974617311325,0.66957829229252
25.29864,1.879676,0.10057,733,56595,291130,4703880,15,1986,"154203.1",733,56595,291130,4703880,15,1986,1,0.934559474997506,1.46521145975443,1.45560297729187,1.09813018594863,1.04508009619925
20.80962,2.285196,0.13476,1074,43942,287886,5014510,16,1986,"161561.1",1074,43942,287886,5014510,16,1986,1,0.889466239497251,1.44231031814665,1.19100695298276,1.08292024473878,0.977582068177464
18.57227,1.891255,0.12073,2677,94319,728715,9777390,17,1986,"316076.9",2677,94319,728715,9777390,17,1986,0.92958289591953,0.760425254707053,1.05882165841453,0.87593801470282,0.944555775198029,0.786148089745779
14.91284,1.87342,0.13532,559,67237,382673,5461890,18,1986,"186082.7",559,67237,382673,5461890,18,1986,1,1,1.89087656529517,1.89087656529517,1.20985064086725,1.20985064086725
18.26016,2.097399,0.11859,7453,198967,1085792,22693140,19,1986,"682170.3",7453,198967,1085792,22693140,19,1986,1,0.866633047720892,1,0.932140580772304,1.00296134213477,0.881563791076849
